movie_name,production_year,production_budget,domestic_box_office,international_box_office,Success_Failure_All,Success_Failure_Domestic,rating,creative_type,source,production_method,genre,sequel,running_time
Arrival,2016,47000000,100546139,102632733,1,1,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,116
Baahubali 2: The Conclusion,2016,30000000,18985794,244600000,1,0,Not Rated,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,167
Bad Moms,2016,20000000,113257297,68200000,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,101
Ballerina,2016,30000000,21858070,75065000,1,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,89
Ben-Hur,2016,95000000,26410477,62314623,0,0,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,123
Blair Witch,2016,10000000,20777061,16716160,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,89
Captain America: Civil War,2016,250000000,408084349,745220146,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1,146
Central Intelligence,2016,50000000,127440871,89755940,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,114
Deadpool,2016,58000000,363070709,437958540,1,1,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,107
Diary of a Wimpy Kid: The Long Haul,2016,22000000,20738724,14617218,0,0,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,1,91
Doctor Strange,2016,165000000,232641920,444900000,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0,115
Fantastic Beasts and Where to Find Them,2016,180000000,234037575,569760767,1,0,PG-13,Fantasy,Spin-Off,Live Action,Adventure,0,133
Fifty Shades Darker,2016,55000000,114434010,266647957,1,1,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,1,118
Fist Fight,2016,25000000,32187017,8100000,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,91
Florence Foster Jenkins,2016,29000000,27383770,16883871,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,110
Ghostbusters,2016,144000000,128350574,100683476,0,0,PG-13,Science Fiction,Remake,Live Action,Comedy,1,117
Going in Style,2016,24000000,45018541,33695670,1,0,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0,96
Hacksaw Ridge,2016,40000000,67209615,91492029,1,0,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,138
Hell or High Water,2016,12000000,27007844,10576460,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Western,0,102
Hidden Figures,2016,25000000,169387004,62193569,1,1,PG,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,126
Home Again,2016,15000000,27020284,7230232,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,97
I Am Wrath,2016,18000000,0,309608,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,92
Ice Age: Collision Course,2016,105000000,64063008,339778629,1,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,100
Inferno,2016,75000000,34355263,185217614,1,0,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,1,121
Jack Reacher: Never Go Back,2016,60000000,58697076,101341331,1,0,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,118
Jason Bourne,2016,120000000,162192920,254004139,1,0,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,123
Jumanji: Welcome to the Jungle,2016,90000000,320537066,458887399,1,1,PG-13,Fantasy,Original Screenplay,Live Action,Adventure,1,119
Keanu,2016,15000000,20591853,96288,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,98
Kicks,2016,10000000,150191,0,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0,84
Kong: Skull Island,2016,185000000,168052812,393084915,1,0,PG-13,Science Fiction,Original Screenplay,Live Action,Adventure,0,118
Kubo and the Two Strings,2016,55000000,48023088,29525476,0,0,PG,Fantasy,Original Screenplay,Stop-Motion Animation,Adventure,0,102
Kung Fu Panda 3,2016,140000000,143528619,375085764,1,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,94
La La Land,2016,20000000,151101803,280184569,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Musical,0,128
Life,2016,58000000,30223972,70769288,0,0,R,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,103
Logan,2016,127000000,226277068,389300000,1,0,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1,135
Mike and Dave Need Wedding Dates,2016,33000000,46009673,29900000,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,98
Miracles from Heaven,2016,13000000,61705123,12093597,1,1,PG,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,109
Miss Sloane,2016,18000000,3500605,2411265,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,132
Moana,2016,150000000,248757044,390780164,1,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,113
Money Monster,2016,27000000,41012075,52457624,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,98
Neighbors 2: Sorority Rising,2016,35000000,55340730,53417791,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,92
Nerve,2016,20000000,38583626,23097166,1,0,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,96
Nocturnal Animals,2016,22500000,10663357,20424669,0,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,116
Now You See Me 2,2016,90000000,65075540,263600000,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,1,129
Office Christmas Party,2016,45000000,54767494,36575000,1,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,105
Passengers,2016,110000000,100014699,202197735,1,0,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,116
Patriots Day,2016,40000000,31886361,20575000,0,0,R,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0,130
Popstar: Never Stop Never Stopping,2016,20000000,9496130,40990,0,0,R,Contemporary Fiction,Based on Web Series,Live Action,Comedy,0,86
Resident Evil: The Final Chapter,2016,40000000,26844692,280509214,1,0,R,Science Fiction,Based on Game,Live Action,Action,1,106
Ride Along 2,2016,40000000,90862685,33964631,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,102
Rings,2016,25000000,27793018,55198442,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,102
Rock Dog,2016,60000000,9420546,11410000,0,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,80
Rogue One: A Star Wars Story,2016,200000000,532177324,518811164,1,1,PG-13,Science Fiction,Spin-Off,Animation/Live Action,Adventure,0,134
Rough Night,2016,20000000,22177334,24738714,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0,101
Sausage Party,2016,19000000,97670358,43684036,1,1,R,Fantasy,Original Screenplay,Digital Animation,Adventure,0,85
Silence,2016,46500000,7100177,9051974,0,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,161
Sing,2016,75000000,270329045,363958695,1,1,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,108
Star Trek Beyond,2016,185000000,158848340,177549972,0,0,PG-13,Science Fiction,Based on TV,Live Action,Adventure,1,122
Storks,2016,70000000,72679278,101423003,1,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,100
Suicide Squad,2016,175000000,325100054,421000000,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,123
Sully,2016,60000000,125070033,113482049,1,1,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,96
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,135000000,82051601,163572247,0,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Animation/Live Action,Adventure,1,112
The 5th Wave,2016,38000000,34912982,76423416,1,0,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,112
The Angry Birds Movie,2016,73000000,107509366,245320162,1,0,PG,Kids Fiction,Based on Game,Digital Animation,Adventure,0,97
The BFG,2016,140000000,55483770,144421454,0,0,PG,Kids Fiction,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,0,115
The Birth of a Nation,2016,10000000,15861566,986313,0,0,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,118
The Boss Baby,2016,125000000,175003033,317314301,1,0,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,97
The Circle,2016,18000000,20497844,20154020,1,0,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,110
The Fate of the Furious,2016,250000000,225764765,1011701261,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,1,136
The Finest Hours,2016,70000000,27569558,21683203,0,0,PG,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0,116
The Forest,2016,10000000,26594261,13984957,1,1,PG-13,Fantasy,Original Screenplay,Live Action,Thriller/Suspense,0,93
The Founder,2016,15000000,12786243,5515175,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,115
The Girl on the Train,2016,45000000,75395035,94932895,1,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,112
The Great Wall,2016,150000000,45157105,289393001,1,0,PG-13,Historical Fiction,Original Screenplay,Live Action,Action,0,104
The Greatest Showman,2016,84000000,116084886,117996787,1,0,PG,Dramatization,Based on Real Life Events,Live Action,Musical,0,105
The History of Love,2016,20000000,0,93690,0,0,Not Rated,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,134
The House,2016,40000000,25584504,5608239,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,88
The Infiltrator,2016,47500000,15436808,2892845,0,0,R,Dramatization,Based on Factual Book/Article,Live Action,Thriller/Suspense,0,127
The Jungle Book,2016,175000000,364001123,599900000,1,1,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,0,105
The Legend of Tarzan,2016,180000000,126643061,222500000,0,0,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,110
The Lego Batman Movie,2016,80000000,175750384,135190613,1,1,PG,Kids Fiction,Based on Toy,Digital Animation,Adventure,1,106
The Magnificent Seven,2016,90000000,93432655,66335135,0,0,PG-13,Historical Fiction,Remake,Live Action,Western,0,128
The Nut Job 2: Nutty by Nature,2016,40000000,28370522,29778624,0,0,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,1,91
The Promise,2016,90000000,8224288,2299805,0,0,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0,134
The Purge: Election Year,2016,10000000,79042440,39514684,1,1,R,Science Fiction,Original Screenplay,Live Action,Horror,0,105
The Shallows,2016,13000000,55121623,63766402,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,87
Trolls,2016,125000000,153707064,191072982,1,0,PG,Kids Fiction,Based on Toy,Digital Animation,Adventure,0,93
Unforgettable,2016,12000000,11368012,4300000,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,114
USS Indianapolis: Men of Courage,2016,40000000,0,1641255,0,0,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,110
Whiskey Tango Foxtrot,2016,35000000,23083334,1832635,0,0,R,Dramatization,Based on Factual Book/Article,Live Action,Comedy,0,111
Why Him?,2016,38000000,60323786,57200000,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,111
Wish Upon,2016,12000000,14301505,6442237,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,89
Wonder,2016,20000000,130058734,120872989,1,1,PG,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,113
X-Men: Apocalypse,2016,178000000,155442489,387300000,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1,136
xXx: Return of Xander Cage,2016,85000000,44898413,300216520,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,1,110
Zootopia,2016,150000000,341268248,678652726,1,1,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,108
A Bad Moms Christmas,2017,28000000,72110659,55600000,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,104
American Made,2017,50000000,51342000,84239390,1,0,R,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0,114
Atomic Blonde,2017,30000000,51573925,45100000,1,0,R,Historical Fiction,Based on Comic/Graphic Novel,Live Action,Thriller/Suspense,0,114
Baby Driver,2017,34000000,107816745,120495064,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,115
Baywatch,2017,60000000,58060186,118473384,1,0,R,Contemporary Fiction,Based on TV,Live Action,Comedy,0,119
Beauty and the Beast,2017,160000000,504014165,759095408,1,1,PG,Fantasy,Remake,Animation/Live Action,Musical,0,123
Blade Runner 2049,2017,185000000,92014865,166923849,0,0,R,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,1,164
Captain Underpants: The First Epic Movie,2017,38000000,73921000,49340024,1,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,89
CHiPS,2017,25000000,18600152,4590545,0,0,R,Contemporary Fiction,Based on TV,Live Action,Action,0,100
Coco,2017,175000000,201147465,455200000,1,0,PG,Kids Fiction,Based on Folk Tale/Legend/Fairytale,Digital Animation,Adventure,0,105
Den of Thieves,2017,30000000,19136849,1300000,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,140
Despicable Me 3,2017,75000000,264624300,769749508,1,1,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,90
Downsizing,2017,68000000,24339861,13297482,0,0,R,Science Fiction,Original Screenplay,Live Action,Comedy,0,135
Dunkirk,2017,150000000,188373161,316252837,1,0,PG-13,Dramatization,Original Screenplay,Live Action,Action,0,107
"Everything, Everything",2017,10000000,34121140,11737190,1,1,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,96
Ferdinand,2017,111000000,79456475,155688796,1,0,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,107
Flatliners,2017,20000000,16877430,28192226,1,0,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,1,110
Geostorm,2017,100000000,33700160,179200000,1,0,PG-13,Science Fiction,Original Screenplay,Live Action,Action,0,109
Ghost in the Shell,2017,110000000,40563557,127355290,0,0,PG-13,Science Fiction,Based on Comic/Graphic Novel,Live Action,Action,0,100
Girls Trip,2017,28000000,115108515,25640257,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,122
It,2017,35000000,327481748,369977480,1,1,R,Historical Fiction,Remake,Live Action,Horror,0,135
Jigsaw,2017,10000000,38052832,64600000,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,91
Justice League,2017,300000000,227733120,427600000,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,121
King Arthur: Legend of the Sword,2017,175000000,39175066,100837542,0,0,PG-13,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,0,126
Kingsman: The Golden Circle,2017,104000000,100234838,308600000,1,0,R,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Action,1,141
Logan Lucky,2017,29000000,27778642,11433680,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,119
Marshall,2017,12000000,10051659,59774,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,118
Murder on the Orient Express,2017,55000000,102365263,247946947,1,0,PG-13,Historical Fiction,Remake,Live Action,Drama,0,114
Only the Brave,2017,38000000,18324258,2412945,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,134
Pirates of the Caribbean: Dead Men Tell No Tales,2017,230000000,172558876,622200000,1,0,PG-13,Fantasy,Based on Theme Park Ride,Live Action,Adventure,1,135
Power Rangers,2017,120000000,85364450,57000000,0,0,PG-13,Kids Fiction,Based on TV,Live Action,Action,0,124
Smurfs: The Lost Village,2017,60000000,45153694,152247752,1,0,PG,Kids Fiction,Based on Comic/Graphic Novel,Digital Animation,Adventure,1,90
Snatched,2017,42000000,45852178,11999999,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,90
Spider-Man: Homecoming,2017,175000000,334198153,546005371,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,133
Thank You for Your Service,2017,20000000,9479390,191524,0,0,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,108
The Dark Tower,2017,60000000,50692621,60969470,0,0,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Western,1,95
The Emoji Movie,2017,50000000,86087381,130530080,1,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,86
The Foreigner,2017,35000000,34393507,106400000,1,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,116
The Mummy,2017,195000000,80101125,330232201,1,0,PG-13,Historical Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,0,107
The Snowman,2017,35000000,6670765,36561515,0,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,142
The Star,2017,20000000,40715377,20732423,1,1,PG,Kids Fiction,Based on Religious Text,Digital Animation,Adventure,0,86
Thor: Ragnarok,2017,180000000,313493611,536545118,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1,130
Transformers: The Last Knight,2017,217000000,130168683,473800000,1,0,PG-13,Science Fiction,Based on TV,Animation/Live Action,Action,1,148
Valerian and the City of a Thousand Planets,2017,180000000,40479370,174636774,0,0,PG-13,Science Fiction,Based on Comic/Graphic Novel,Live Action,Adventure,0,129
War for the Planet of the Apes,2017,152000000,146880162,343400000,1,0,PG-13,Science Fiction,Original Screenplay,Animation/Live Action,Action,1,142
Wonder Woman,2017,150000000,412563408,404449407,1,1,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,141
