movie_name,production_year,production_budget,domestic_box_office,international_box_office,Success_Failure_All,Success_Failure_Domestic,rating,creative_type,source,production_method,genre,sequel,running_time
The Hobbit: The Battle of the Five Armies,2014,250000000,255119788,700000000,1,0,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,1,144
The Homesman,2014,16000000,2429989,1012864,0,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Western,0,120
The Hundred-Foot Journey,2014,22000000,54235441,40035047,1,1,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0,122
The Hunger Games: Mockingjay - Part 1,2014,125000000,337135885,429516403,1,1,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,1,123
The Imitation Game,2014,15000000,91125143,136648543,1,1,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,113
The Interview,2014,44000000,6105175,6237457,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,111
The Judge,2014,50000000,47119388,29000000,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,141
The Light Between Oceans,2014,20000000,12545979,6904801,0,0,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,132
The November Man,2014,15000000,25018119,9802216,1,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,108
The Other Woman,2014,40000000,83911193,111200000,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,109
The SpongeBob Movie: Sponge Out of Water,2014,74000000,162994032,148600000,1,1,PG,Kids Fiction,Based on TV,Animation/Live Action,Adventure,0,93
The Theory of Everything,2014,15000000,35893537,87434155,1,1,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,123
The Water Diviner,2014,22500000,4200117,26664532,0,0,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,112
Think Like a Man Too,2014,24000000,65028687,4999246,1,1,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,1,105
Tomorrowland,2014,170000000,93436322,113847135,0,0,PG,Science Fiction,Original Screenplay,Live Action,Adventure,0,129
Top Five,2014,12000000,25317379,197469,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,101
Transcendence,2014,100000000,23022309,80016949,0,0,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,119
Transformers: Age of Extinction,2014,210000000,245439076,858600000,1,0,PG-13,Science Fiction,Based on TV,Animation/Live Action,Action,1,165
Trash,2014,12000000,17484,6535702,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0,113
Unbroken,2014,65000000,115637895,47889929,1,0,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,137
Unfinished Business,2014,35000000,10219501,2600000,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,91
United Passions,2014,30000000,918,167914,0,0,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,110
Victor Frankenstein,2014,40000000,5775076,27400000,0,0,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,110
When the Game Stands Tall,2014,15000000,30127963,10949,1,1,PG,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,0,114
While We're Young,2014,10000000,7582065,5841111,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,94
Wild,2014,15000000,37880356,14621185,1,1,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,119
Wild Card,2014,30000000,3200,925957,0,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,92
Woman in Gold,2014,11000000,33307793,23450345,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,107
X-Men: Days of Future Past,2014,200000000,233921534,513941241,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1,131
10 Days in a Madhouse,2015,12000000,14616,0,0,0,R,Dramatization,Original Screenplay,Live Action,Drama,0,111
A Hologram for the King,2015,35000000,4212494,7635564,0,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,97
American Ultra,2015,28000000,14439985,15855091,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0,96
Ant-Man,2015,130000000,180202163,339135885,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,117
Avengers: Age of Ultron,2015,330600000,459005868,949212854,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Animation/Live Action,Action,1,141
Baahubali: The Beginning,2015,40000000,6738000,19998665,0,0,Not Rated,Historical Fiction,Original Screenplay,Live Action,Action,0,160
Barbershop: The Next Cut,2015,20000000,54030051,374151,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,112
Batman v Superman: Dawn of Justice,2015,250000000,330360194,537800000,1,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1,151
Bilal: A New Breed of Hero,2015,30000000,0,141661,0,0,PG-13,Dramatization,Based on Real Life Events,Digital Animation,Adventure,0,103
Bitter Harvest,2015,21000000,557241,48921,0,0,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,103
Black Mass,2015,53000000,62575678,36262194,0,0,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,122
Bleed for This,2015,16000000,5083906,1164171,0,0,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,116
Bridge of Spies,2015,40000000,72313754,90296719,1,0,PG-13,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,141
By the Sea,2015,20000000,538460,3189286,0,0,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,122
Collateral Beauty,2015,36000000,31016021,54299049,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,96
Collide,2015,29200000,2280004,2998515,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,99
Concussion,2015,35000000,34531832,15831958,0,0,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,0,121
Creed,2015,37000000,109767581,63800000,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,1,133
Criminal,2015,31500000,14708696,24062566,0,0,R,Science Fiction,Original Screenplay,Live Action,Action,0,113
Crimson Peak,2015,55000000,31090320,44376275,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,118
Deepwater Horizon,2015,156000000,61433527,61497687,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,107
Dirty Grandpa,2015,11500000,35593113,69648297,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,97
Eddie the Eagle,2015,23000000,15789389,29331788,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,105
Entourage,2015,30000000,32363404,13861922,0,0,R,Contemporary Fiction,Based on TV,Live Action,Comedy,0,104
Everest,2015,65000000,43309450,178353226,1,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0,121
Ex Machina,2015,13000000,25440971,13535826,1,0,R,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,110
Eye in the Sky,2015,13000000,18704596,16211532,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,102
Fantastic Four,2015,120000000,56117548,111860048,0,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,100
Finding Dory,2015,200000000,486295561,536321815,1,1,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,103
Focus,2015,65000000,53862963,105200000,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,105
Free Fire,2015,10000000,1799322,1994417,0,0,R,Historical Fiction,Original Screenplay,Live Action,Action,0,90
Free State of Jones,2015,50000000,20810036,2342026,0,0,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0,139
Genius,2015,17000000,1361045,4292131,0,0,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,104
Get Hard,2015,40000000,90411453,16100000,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,99
Gods of Egypt,2015,140000000,31153464,102400000,0,0,PG-13,Fantasy,Original Screenplay,Live Action,Adventure,0,127
Goosebumps,2015,58000000,80069458,78835866,1,0,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Horror,0,103
"Hail, Caesar!",2015,22000000,30080225,34091194,1,0,PG-13,Historical Fiction,Original Screenplay,Live Action,Comedy,0,100
Hands of Stone,2015,20000000,4712792,319221,0,0,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,105
Hot Pursuit,2015,35000000,34580201,11100000,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,87
Hotel Transylvania 2,2015,80000000,169700110,301051288,1,1,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,89
In Dubious Battle,2015,15000000,0,214182,0,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110
Independence Day: Resurgence,2015,165000000,103144286,284500000,1,0,PG-13,Science Fiction,Original Screenplay,Live Action,Action,1,119
Inside Out,2015,175000000,356461711,497245870,1,1,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,95
Joy,2015,60000000,56451232,44682827,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,124
Jurassic World,2015,215000000,652198010,1019442583,1,1,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,124
Krampus,2015,15000000,42725475,19062918,1,1,PG-13,Fantasy,Original Screenplay,Live Action,Black Comedy,0,98
Legend,2015,25000000,1872994,40769083,0,0,R,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0,131
Lion,2015,12000000,51728731,95800000,1,1,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,120
Live by Night,2015,65000000,10378555,11400000,0,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,129
London Has Fallen,2015,60000000,62524260,131333702,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Action,1,99
Love the Coopers,2015,18000000,26302731,15864555,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,107
Mad Max: Fury Road,2015,150000000,153636354,217105812,1,0,R,Science Fiction,Original Screenplay,Live Action,Action,1,120
