movie_name,Inflation_Success_Failure_Domestic,boxofficemojo_Success_Failure_Domestic,production_year,production_budget,production_budget_adjusted,domestic_box_office,inflation_domestic_adjusted,boxofficemojo_domestic_adjusted,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,popularity,production_companies,production_countries,vote_average,vote_count,actor1_name,actor1_gender,actor2_name,actor2_gender,actor3_name,actor3_gender,actor4_name,actor4_gender,actor5_name,actor5_gender,actor_number,director_name,director_gender,director_number,producer_name,producer_number,screeplay_name,editor_name
Frost/Nixon,0,0,2008,29000000,31756061,18622031,21378092,25502232,9830914,R,Dramatization,Based on Play,Live Action,Drama,0,122,2.28506,Imagine Entertainment,United States of America,7.2,309,Michael Sheen,2,Frank Langella,2,Kevin Bacon,2,Sam Rockwell,2,Mark Simich,2,25,Ron Howard,2,1,Eric Fellner,4,Peter Morgan,Daniel P. Hanley
Journey to the Center of the Earth,0,1,2008,45000000,60052247,101704370,116756617,139280641,141476567,PG,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,92,1.777138,Twentieth Century Fox Film Corporation,United States of America,6.7,99,Pat Boone,2,James Mason,2,Arlene Dahl,1,Diane Baker,0,Thayer David,2,8,Henry Levin,2,1,Charles Brackett,1,Walter Reisch,Stuart Gilmore
Flushed Away,0,0,2006,149000000,162515125,64665672,78180797,88557416,114691454,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,85,2.459216,Aardman Animations,United Kingdom,6,779,Hugh Jackman,2,Kate Winslet,1,Ian McKellen,2,Jean Reno,2,Bill Nighy,2,15,David Bowers,2,2,Cecil Kramer,4,Dick Clement,Eric Dapkewicz
Mamma Mia!,1,1,2008,52000000,73331249,144130063,165461312,197381170,471618814,PG-13,Contemporary Fiction,Based on Musical or Opera,Live Action,Musical,0,108,3.009448,Universal Pictures,Germany,6.4,1279,Meryl Streep,1,Pierce Brosnan,2,Amanda Seyfried,1,Colin Firth,2,Stellan Skarsg̴rd,2,26,Phyllida Lloyd,1,1,Gary Goetzman,2,Catherine Johnson,Lesley Walker
Invincible,0,0,2006,40000000,52081653,57806952,69888605,79164635,694175,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,104,1.639904,Walt Disney Pictures,United States of America,6.6,209,Mark Wahlberg,2,Greg Kinnear,2,Elizabeth Banks,1,Kevin Conway,2,Michael Rispoli,2,6,Ericson Core,2,1,Mark Ciardi,3,Brad Gann,Gerald B. Greenberg
Get Smart,0,0,2008,80000000,99287243,130319208,149606451,178467679,96420208,PG-13,Contemporary Fiction,Based on TV,Live Action,Comedy,0,110,2.142679,Village Roadshow Pictures,Canada,6,975,Steve Carell,2,Anne Hathaway,1,Dwayne Johnson,2,Alan Arkin,2,Terence Stamp,2,15,Peter Segal,2,1,Charles Roven,3,Tom J. Astle,Richard Pearson
Fright Night,0,0,2010,30000000,32086046,18298649,20384695,20803407,22222000,R,Contemporary Fiction,Remake,Live Action,Horror,0,101,1.069714,Columbia Pictures,United States of America,6.9,250,Chris Sarandon,2,William Ragsdale,2,Amanda Bearse,0,Roddy McDowall,2,Stephen Geoffreys,2,9,Tom Holland,2,1,Herb Jaffe,1,Tom Holland,Kent Beyda
Space Chimps,0,0,2008,37000000,41455683,30105968,34561651,41229089,36923988,G,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,81,1.136421,Starz Media,United States of America,5.1,92,Andy Samberg,2,Cheryl Hines,1,Jeff Daniels,2,Patrick Warburton,2,Kristin Chenoweth,1,17,Kirk De Micco,2,1,Barry Sonnenfeld,2,none,Debbie Berman
Death Sentence,0,0,2007,20000000,21687564,9534258,11221822,12430566,7373573,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,105,1.369459,Twentieth Century Fox Film Corporation,United States of America,6.5,275,Kevin Bacon,2,Garrett Hedlund,2,Kelly Preston,1,Jordan Garrett,2,John Goodman,2,14,James Wan,2,1,Ashok Amritraj,3,Ian Jeffers,Michael N. Knue
Robin Hood,0,0,2010,210000000,222000749,105269730,117270479,119679275,216971858,PG-13,Historical Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Action,0,139,3.109224,Walt Disney Productions,United States of America,7,1001,Brian Bedford,2,Phil Harris,0,Peter Ustinov,2,Pat Buttram,2,Ken Curtis,2,15,Wolfgang Reitherman,2,1,Wolfgang Reitherman,1,none,Tom Acosta
High School Musical 3: Senior Year,1,1,2008,11000000,24402794,90559416,103962210,124018009,183833464,G,Contemporary Fiction,Based on TV,Live Action,Musical,1,112,1.358833,Walt Disney Pictures,United States of America,6.2,722,Zac Efron,2,Vanessa Hudgens,1,Ashley Tisdale,1,Lucas Grabeel,2,Corbin Bleu,2,15,Kenny Ortega,2,1,Bill Borden,2,none,Seth Flaum
Saw V,1,1,2008,10800000,19198522,56746769,65145291,77712751,61463009,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,92,2.360742,Lionsgate,United States of America,5.9,724,Tobin Bell,2,Costas Mandylor,2,Scott Patterson,2,Betsy Russell,1,Mark Rolston,2,11,David Hackl,2,1,Mark Burg,3,none,none
Superhero Movie,0,0,2008,35000000,38942501,26638520,30581021,36480538,46387782,PG-13,Super Hero,Original Screenplay,Live Action,Comedy,0,86,1.921261,Dimension Films,United States of America,4.8,328,Drake Bell,2,Sara Paxton,1,Leslie Nielsen,2,Christopher McDonald,2,Jeffrey Tambor,2,16,Craig Mazin,2,1,Craig Mazin,3,Craig Mazin,Andrew S. Eisen
Hercules,0,0,2013,100000000,103270988,72688614,75959602,80198877,170700000,PG-13,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Action,0,97,4.472344,Walt Disney Pictures,United States of America,7.3,1479,Tate Donovan,2,Josh Keaton,2,Roger Bart,2,Danny DeVito,2,James Woods,2,21,Ron Clements,2,2,Ron Clements,4,Ron Clements,Tom Finan
Legend,0,0,2015,25000000,25026222,1872994,1899216,1992972,40769083,R,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0,131,2.649588,Universal Studios,United States of America,6.2,254,Tom Cruise,2,Mia Sara,1,Tim Curry,2,David Bennent,2,Alice Playten,1,17,Ridley Scott,2,1,Arnon Milchan,1,none,Terry Rawlings
