movie_name,Inflation_Success_Failure_Domestic,boxofficemojo_Success_Failure_Domestic,production_year,production_budget,production_budget_adjusted,domestic_box_office,inflation_domestic_adjusted,boxofficemojo_domestic_adjusted,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,popularity,production_companies,production_countries,vote_average,vote_count,actor1_name,actor1_gender,actor2_name,actor2_gender,actor3_name,actor3_gender,actor4_name,actor4_gender,actor5_name,actor5_gender,actor_number,director_name,director_gender,director_number,producer_name,producer_number,screeplay_name,editor_name
The Good German,0,0,2006,32000000,32273517,1308696,1582213,1792214,5369337,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,105,0.96249,Warner Bros.,United States of America,5.9,83,George Clooney,2,Cate Blanchett,1,Tobey Maguire,2,Tony Curran,2,Leland Orser,2,14,Steven Soderbergh,2,1,none,0,Paul Attanasio,Steven Soderbergh
The Fountain,0,0,2006,35000000,37120098,10144010,12264108,13891873,5317628,PG-13,Science Fiction,Original Screenplay,Live Action,Drama,0,96,2.148544,Regency Enterprises,United States of America,6.8,764,Hugh Jackman,2,Rachel Weisz,1,Ellen Burstyn,1,Mark Margolis,2,Stephen McHattie,2,14,Darren Aronofsky,2,1,Arnon Milchan,2,Darren Aronofsky,Jay Rabinowitz
Letters from Iwo Jima,0,0,2006,13000000,15875021,13756082,16631103,18838482,54111916,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0,101,1.63429,DreamWorks SKG,Japan,7.2,510,Ken Watanabe,2,Kazunari Ninomiya,0,Tsuyoshi Ihara,2,Ryo Kase,2,Shidou Nakamura,2,18,Clint Eastwood,2,1,Clint Eastwood,4,Paul Haggis,Joel Cox
Notes on a Scandal,0,0,2006,27500000,31159615,17510118,21169733,23979505,33068293,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,92,1.031451,Fox Searchlight Pictures,United Kingdom,6.9,220,Judi Dench,1,Cate Blanchett,1,Bill Nighy,2,Juno Temple,1,Max Lewis,2,23,Richard Eyre,2,1,Robert Fox,2,Patrick Marber,John Bloom
The Simpsons Movie,1,1,2007,72500000,104914897,183135014,215549911,238767598,343936008,PG-13,Contemporary Fiction,Based on TV,Digital Animation,Adventure,0,86,4.864034,Gracie Films,United States of America,6.9,2043,Dan Castellaneta,2,Julie Kavner,1,Nancy Cartwright,1,Yeardley Smith,1,Hank Azaria,2,21,David Silverman,2,1,James L. Brooks,11,Matt Groening,John Carnochan
Lucky Number Slevin,0,0,2006,27000000,31701552,22495466,27197018,30806768,33000000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,110,2.870428,The Weinstein Company,Germany,7.4,1227,Josh Hartnett,2,Bruce Willis,2,Lucy Liu,1,Morgan Freeman,2,Ben Kingsley,2,17,Paul McGuigan,0,1,Christopher Eberts,7,Jason Smilovic,Andrew Hulme
Crank,0,1,2006,12000000,17818227,27838408,33656635,38123743,16086515,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,88,3.791982,Lions Gate Films,United States of America,6.6,1080,Jason Statham,2,Amy Smart,1,Jose Pablo Cantillo,0,Efren Ramirez,2,Dwight Yoakam,2,19,Brian Taylor,2,2,Michael Davis,4,Brian Taylor,Brian Berdan
Snakes on a Plane,0,0,2006,33000000,40110350,34020814,41131164,46590336,28000000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106,1.917881,New Line Cinema,United States of America,5.1,463,Samuel L. Jackson,2,Julianna Margulies,1,Kenan Thompson,2,Nathan Phillips,2,Rachel Blanchard,1,19,David R. Ellis,2,1,none,0,Sebastian Gutierrez,Howard E. Smith
Babel,0,0,2006,20000000,27169293,34302837,41472130,46976557,97818375,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,143,2.824886,Paramount Vantage,France,6.9,977,Brad Pitt,2,Cate Blanchett,1,Gael GarcÃ­a Bernal,2,Rinko Kikuchi,0,Adriana Barraza,1,50,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,2,1,Steve Golin,5,Guillermo Arriaga,Stephen Mirrione
16 Blocks,0,0,2006,45000000,52711084,36895141,44606225,50526628,28700000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,105,2.815345,Donners' Company,United States of America,6.2,616,Bruce Willis,2,Yasiin Bey,2,David Morse,2,Jenna Stern,0,David Zayas,2,21,Richard Donner,2,1,Randall Emmett,4,Richard Wenk,Steve Mirkovich
The Illusionist,0,1,2006,16500000,24832546,39868642,48201188,54598736,43923420,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110,3.621435,Michael London Productions,Czech Republic,7.1,1506,Edward Norton,2,Jessica Biel,1,Paul Giamatti,2,Rufus Sewell,2,Eddie Marsan,2,35,Neil Burger,2,1,Brian Koppelman,5,Neil Burger,Naomi Geraghty
Stranger Than Fiction,0,0,2006,30000000,38450955,40435190,48886145,55374604,13137632,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,105,2.816509,Mandate Pictures,United States of America,7.1,674,Will Ferrell,2,Maggie Gyllenhaal,1,Dustin Hoffman,2,Emma Thompson,1,Queen Latifah,1,41,Marc Forster,2,1,none,0,Zach Helm,Matt Chesse
Miami Vice,0,0,2006,135000000,148267077,63478838,76745915,86932088,100339718,R,Contemporary Fiction,Based on TV,Live Action,Action,0,132,1.74601,Universal Pictures,Uruguay,5.7,451,Jamie Foxx,2,Colin Farrell,2,Gong Li,1,Luis Tosar,2,Naomie Harris,1,18,Michael Mann,2,1,Michael Mann,2,none,William Goldenberg
Apocalypto,0,0,2006,40000000,50631127,50866635,61497762,69660109,70165637,R,Historical Fiction,Original Screenplay,Live Action,Adventure,0,138,3.024438,Icon Productions,United States of America,7.2,1139,Rudy Youngblood,2,Raoul Max Trujillo,2,Gerardo Taracena,2,Iazua Larios,1,Antonio Monroy,2,39,Mel Gibson,2,1,Mel Gibson,2,none,John Wright
The Lake House,0,0,2006,40000000,50936993,52330111,63267104,71664289,62500000,PG,Fantasy,Remake,Live Action,Drama,0,99,2.347549,Village Roadshow Pictures,United States of America,6.5,614,Keanu Reeves,2,Sandra Bullock,1,Shohreh Aghdashloo,1,Christopher Plummer,2,Ebon Moss-Bachrach,2,20,Alejandro Agresti,2,1,Doug Davison,2,David Auburn,Alejandro Brodersohn
The Prestige,0,0,2006,40000000,51095787,53089891,64185678,72704782,51317475,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,130,7.54731,Touchstone Pictures,United States of America,7.9,3974,Hugh Jackman,2,Christian Bale,2,Michael Caine,2,Scarlett Johansson,1,Andy Serkis,2,41,Christopher Nolan,2,1,Aaron Ryder,3,Jonathan Nolan,Lee Smith
Blood Diamond,0,0,2006,100000000,111991984,57377916,69369900,78577085,114000000,R,Historical Fiction,Original Screenplay,Live Action,Action,0,143,4.111459,Bedford Falls Productions,Germany,7.3,2101,Leonardo DiCaprio,2,Djimon Hounsou,2,Jennifer Connelly,1,Kagiso Kuypers,0,Arnold Vosloo,2,22,Edward Zwick,2,1,Gillian Gorfil,9,Charles Leavitt,Steven Rosenblum
The Holiday,0,0,2006,85000000,98225520,63280000,76505520,86659786,141910324,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,135,2.989596,Columbia Pictures,United Kingdom,6.7,1122,Cameron Diaz,1,Kate Winslet,1,Jude Law,2,Jack Black,2,Eli Wallach,2,21,Nancy Meyers,1,1,Nancy Meyers,2,Nancy Meyers,Joe Hutshing
World Trade Center,0,0,2006,65000000,79688289,70278893,84967182,96244530,93016761,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,129,2.39057,Paramount Pictures,United States of America,5.9,413,Nicolas Cage,2,Maria Bello,1,Maggie Gyllenhaal,1,Michael PeÃ±a,2,Jay Hernandez,2,22,Oliver Stone,2,1,Debra Hill,4,none,David Brenner
"You, Me and Dupree",0,0,2006,54000000,69842620,75802010,91644630,103808249,54600000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,109,0.948877,Universal Pictures,United States of America,5.4,376,Kate Hudson,1,Owen Wilson,2,Matt Dillon,2,Michael Douglas,2,Seth Rogen,2,14,Anthony Russo,2,2,Scott Stuber,2,Michael LeSieur,Peter B. Ellis
The Pink Panther,0,0,2006,80000000,97185333,82226474,99411807,112606332,76700000,PG,Historical Fiction,,Live Action,Adventure,1,93,1.871113,United Artists,United States of America,6.9,224,David Niven,2,Peter Sellers,2,Robert Wagner,2,Capucine,1,Brenda De Banzie,1,20,Blake Edwards,2,1,Martin Jurow,2,Blake Edwards,Ralph E. Winters
Inside Man,0,0,2006,50000000,68524556,88634237,107158793,121381543,97164028,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,128,2.602143,Imagine Entertainment,United States of America,7.3,1517,Denzel Washington,2,Clive Owen,2,Jodie Foster,1,Christopher Plummer,2,Willem Dafoe,2,64,Spike Lee,2,1,Brian Grazer,1,none,Barry Alexander Brown
Dreamgirls,0,0,2006,75000000,96603485,103365956,124969441,141556126,52342739,PG-13,Historical Fiction,Based on Musical or Opera,Live Action,Musical,0,130,0.929797,Paramount Pictures,United States of America,6.5,250,Jamie Foxx,2,BeyoncÃ© Knowles,1,Eddie Murphy,2,Danny Glover,2,Jennifer Hudson,1,23,Bill Condon,2,1,David Geffen,2,Bill Condon,Virginia Katz
The Devil Wears Prada,1,1,2006,35000000,61070756,124740460,150811216,170827775,201332695,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,109,5.193545,Twentieth Century Fox Film Corporation,United States of America,7,2765,Meryl Streep,1,Anne Hathaway,1,Emily Blunt,1,Stanley Tucci,2,Simon Baker,2,18,David Frankel,2,1,Wendy Finerman,1,Aline Brosh McKenna,Mark Livolsi
The Departed,0,0,2006,90000000,117668322,132384315,160052637,181295772,157276304,R,Contemporary Fiction,Remake,Live Action,Drama,0,151,8.384518,Vertigo Entertainment,Hong Kong,7.9,4009,Leonardo DiCaprio,2,Matt Damon,2,Jack Nicholson,2,Mark Wahlberg,2,Martin Sheen,2,71,Martin Scorsese,2,1,Brad Pitt,3,William Monahan,Thelma Schoonmaker
Mission: Impossible III,0,0,2006,150000000,177901782,133501348,161403130,182825510,264000000,PG-13,Contemporary Fiction,Based on TV,Live Action,Action,1,126,4.048455,Paramount Pictures,China,6.5,1897,Tom Cruise,2,Philip Seymour Hoffman,2,Ving Rhames,2,Billy Crudup,2,Jonathan Rhys Meyers,2,13,J.J. Abrams,2,1,Tom Cruise,2,none,Maryann Brandon
The Pursuit of Happyness,1,1,2006,55000000,88980482,162586036,196566518,222655991,144739597,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,117,5.092566,Columbia Pictures Corporation,United States of America,7.7,2258,Will Smith,2,Jaden Smith,2,Thandie Newton,1,Brian Howe,0,James Karen,2,49,Gabriele Muccino,2,1,Steve Tisch,2,Steve Conrad,Hughes Winborne
Ice Age: The Meltdown,1,1,2006,75000000,115824100,195330621,236154721,267498576,456568661,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,91,4.41089,Blue Sky Studios,United States of America,6.5,2645,Ray Romano,2,John Leguizamo,2,Denis Leary,2,Queen Latifah,1,Seann William Scott,2,42,Carlos Saldanha,2,1,Lori Forte,1,Jon Vitti,Tim Nordquist
Superman Returns,0,0,2006,232000000,273825080,200120000,241945080,274057466,173965065,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0,150,3.596917,DC Comics,United States of America,5.4,1302,Brandon Routh,2,Kevin Spacey,2,Kate Bosworth,1,James Marsden,2,Parker Posey,1,18,Bryan Singer,2,1,Bryan Singer,3,Michael Dougherty,Elliot Graham
The Da Vinci Code,0,0,2006,125000000,170465053,217536138,263001191,297908268,550284321,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,152,5.137319,Columbia Pictures,United States of America,6.4,2473,Tom Hanks,2,Audrey Tautou,1,Ian McKellen,2,Paul Bettany,2,Jean Reno,2,17,Ron Howard,2,1,Brian Grazer,5,Akiva Goldsman,Daniel P. Hanley
Night at the Museum,0,1,2006,110000000,162430423,250863268,303293691,343548628,328583139,PG,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,108,5.187454,Ingenious Film Partners,United States of America,6.3,2559,Ben Stiller,2,Jake Cherry,2,Carla Gugino,1,Robin Williams,2,Dick Van Dyke,2,21,Shawn Levy,2,1,Michael Barnathan,3,Ben Garant,Don Zimmerman
Sunshine,0,0,2007,40000000,40652875,3688560,4341435,4809067,28342050,R,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,107,4.146106,DNA Films,United Kingdom,6.9,1110,Cillian Murphy,2,Rose Byrne,1,Chris Evans,2,Michelle Yeoh,1,Cliff Curtis,2,12,Danny Boyle,2,1,Andrew Macdonald,1,Alex Garland,Chris Gill
"Paris, je t'aime",0,0,2007,13000000,13859755,4857374,5717129,6332943,317714,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,120,0.780272,Filmazure,France,6.7,194,Steve Buscemi,2,Natalie Portman,1,Willem Dafoe,2,Maggie Gyllenhaal,1,Axel Kiener,0,48,Isabel Coixet,1,21,Claudie Ossard,2,none,Mathilde Bonnefoy
Lucky You,0,0,2007,55000000,56018686,5755286,6773972,7503621,766543,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0,124,2.044006,Village Roadshow Pictures,United States of America,5.4,73,Eric Bana,2,Drew Barrymore,1,Robert Duvall,2,Debra Messing,1,Robert Downey Jr.,2,8,Curtis Hanson,2,1,Curtis Hanson,3,Eric Roth,Craig Kitson
Death at a Funeral,0,0,2007,20000000,21518736,8580428,10099164,11186982,38210000,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,91,2.349792,Sidney Kimmel Entertainment,United Kingdom,6.9,450,Matthew Macfadyen,2,Keeley Hawes,1,Andy Nyman,2,Ewen Bremner,2,Daisy Donovan,1,14,Frank Oz,2,1,Diana Phillips,3,Dean Craig,none
The Dark Knight,1,1,2008,185000000,263935113,533345358,612280471,730398147,468275260,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1,152,14.074094,DC Comics,United Kingdom,8.2,11168,Christian Bale,2,Michael Caine,2,Heath Ledger,2,Aaron Eckhart,2,Gary Oldman,2,103,Christopher Nolan,2,1,Charles Roven,4,Christopher Nolan,Lee Smith
A Mighty Heart,0,0,2007,15000000,16624291,9176787,10801078,11964503,9976781,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,108,1.022464,Plan B Entertainment,France,6.7,91,Angelina Jolie,1,Dan Futterman,2,Irrfan Khan,2,Archie Panjabi,1,Denis O'Hare,2,15,Michael Winterbottom,2,1,Brad Pitt,3,John Orloff,Peter Christelis
Eastern Promises,0,0,2007,50000000,53041084,17181265,20222349,22400574,38895823,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,100,3.576137,BBC Films,United Kingdom,7.2,786,Naomi Watts,1,Viggo Mortensen,2,Vincent Cassel,2,Armin Mueller-Stahl,2,SinÃ©ad Cusack,1,16,David Cronenberg,2,1,Robert Lantos,2,Steven Knight,Ronald Sanders
The Reaping,0,0,2007,40000000,44447340,25126214,29573554,32759032,37100000,R,Fantasy,Original Screenplay,Live Action,Horror,0,96,1.89075,Village Roadshow Pictures,United States of America,5.5,189,Hilary Swank,1,David Morrissey,2,Idris Elba,2,AnnaSophia Robb,1,Stephen Rea,2,15,Stephen Hopkins,2,1,Robert Zemeckis,4,Carey Hayes,Colby Parker Jr.
Sin City: A Dame to Kill For,0,0,2011,65000000,66348265,13757804,15106069,15562106,25741545,R,Fantasy,Based on Comic/Graphic Novel,Live Action,Action,1,101,6.610553,Miramax Films,United States of America,6.3,1197,Mickey Rourke,2,Jessica Alba,1,Josh Brolin,2,Joseph Gordon-Levitt,2,Rosario Dawson,1,50,Robert Rodriguez,0,2,Robert Rodriguez,6,none,Robert Rodriguez
Hannibal Rising,0,0,2007,50000000,54897541,27669725,32567266,36075208,52913586,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,117,0.704449,Ingenious Film Partners,United Kingdom,6,625,Gaspard Ulliel,2,Aaran Thomas,0,Gong Li,1,Dominic West,2,Rhys Ifans,2,16,Peter Webber,2,1,Tarak Ben Ammar,3,Thomas Harris,Valerio Bonelli
We Own the Night,0,0,2007,28000000,33055683,28563179,33618862,37240075,26744678,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,118,0.913066,Columbia Pictures,United States of America,6.5,297,Joaquin Phoenix,2,Eva Mendes,1,Alex Veadov,2,Mark Wahlberg,2,Robert Duvall,2,92,James Gray,2,1,Marc Butan,4,James Gray,John Axelrad
28 Weeks Later,0,0,2007,15000000,20069088,28638916,33708004,37338819,35593798,R,Science Fiction,Original Screenplay,Live Action,Horror,1,100,2.960418,DNA Films,Spain,6.5,1119,Imogen Poots,1,Robert Carlyle,2,Rose Byrne,1,Jeremy Renner,2,Harold Perrineau,2,52,Juan Carlos Fresnadillo,2,1,Andrew Macdonald,4,Juan Carlos Fresnadillo,Chris Gill
Zodiac,0,0,2007,85000000,90855175,33080084,38935259,43129121,50000000,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,158,4.833237,Paramount Pictures,United States of America,7.3,1830,Jake Gyllenhaal,2,Robert Downey Jr.,2,Mark Ruffalo,2,Anthony Edwards,2,Brian Cox,2,25,David Fincher,2,1,Mike Medavoy,5,James Vanderbilt,Angus Wall
Freedom Writers,0,0,2007,21000000,27479192,36605602,43084794,47725618,7027007,PG-13,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,122,2.354634,Double Feature Films,Germany,7.5,311,Hilary Swank,1,Scott Glenn,2,Imelda Staunton,1,Patrick Dempsey,2,Mario,2,28,Richard LaGravenese,2,1,Danny DeVito,3,Richard LaGravenese,David Moritz
Stardust,0,0,2007,70000000,76838384,38634938,45473322,50371424,98387307,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,128,3.28233,Paramount Pictures,Iceland,7.1,1088,Claire Danes,1,Charlie Cox,2,Michelle Pfeiffer,1,Robert De Niro,2,Sienna Miller,1,44,Matthew Vaughn,2,1,Lorenzo di Bonaventura,5,Jane Goldman,Jon Harris
Hitman,0,1,2007,17500000,24524722,39687694,46712416,51743985,59447877,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,95,3.564196,Twentieth Century Fox Film Corporation,France,5.9,895,Timothy Olyphant,2,Dougray Scott,2,Olga Kurylenko,1,Robert Knepper,2,Ulrich Thomsen,2,11,Xavier Gens,2,1,Pierre-Ange Le Pogam,4,Skip Woods,Carlo Rizzo
Because I Said So,0,0,2007,39000000,46553305,42674040,50227345,55637520,26864793,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,102,1.543625,Universal Pictures,United States of America,5.8,176,Diane Keaton,1,Mandy Moore,1,Gabriel Macht,2,Tom Everett Scott,2,Lauren Graham,1,16,Michael Lehmann,2,1,Paul Brooks,2,Karen Leigh Hopkins,Paul Seydor
Indiana Jones and the Kingdom of the Crystal Skull,0,0,2008,185000000,231919530,317023851,363943381,434153274,469534294,PG-13,Historical Fiction,Original Screenplay,Live Action,Adventure,1,123,4.229369,Lucasfilm,United States of America,5.7,2318,Harrison Ford,2,Cate Blanchett,1,Shia LaBeouf,2,Ray Winstone,2,Karen Allen,1,38,Steven Spielberg,2,1,Frank Marshall,1,David Koepp,Michael Kahn
TMNT,0,0,2007,35000000,44584390,54149098,63733488,70598461,41946920,PG,Science Fiction,Based on Comic/Graphic Novel,Digital Animation,Action,0,86,2.808882,The Weinstein Company,United States of America,6,320,Chris Evans,2,Sarah Michelle Gellar,1,Mako,2,Kevin Smith,2,Patrick Stewart,2,15,Kevin Munroe,2,1,Thomas K. Gray,2,none,John Damien Ryan
Halloween,1,1,2007,15000000,25313640,58269151,68582791,75970099,19245250,R,Fantasy,Original Screenplay,Live Action,Horror,1,109,2.737736,Compass International Pictures,United States of America,7.4,939,Donald Pleasence,2,Jamie Lee Curtis,1,P.J. Soles,1,Nancy Kyes,1,Nick Castle,2,25,John Carpenter,2,1,Debra Hill,1,Debra Hill,Charles Bornstein
Stomp the Yard,1,1,2007,14000000,24860051,61356221,72216272,79994957,14169497,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,116,1.571037,Rainforest Films,United States of America,5.9,81,Columbus Short,2,Meagan Good,1,Ne-Yo,2,Darrin Henson,2,Jermaine Williams,2,12,Sylvain White,2,1,William Packer,1,Robert Adetuyi,David Checel
Saw IV,1,1,2007,10000000,21204117,63300095,74504212,82529339,72459599,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,95,3.182113,Lions Gate Films,United States of America,5.9,799,Tobin Bell,2,Scott Patterson,2,Costas Mandylor,2,Betsy Russell,1,Lyriq Bent,2,21,Darren Lynn Bousman,2,1,Oren Koules,3,Patrick Melton,Brett Sullivan
The Golden Compass,0,0,2007,205000000,217409068,70107728,82516796,91404988,297154830,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,113,3.6614,New Line Cinema,United Kingdom,5.7,1186,Dakota Blue Richards,1,Nicole Kidman,1,Daniel Craig,2,Sam Elliott,2,Eva Green,1,29,Chris Weitz,0,1,Bill Carraro,2,Chris Weitz,Anne V. Coates
Bridge to Terabithia,1,1,2007,25000000,39555443,82234139,96789582,107215149,55750649,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0,94,3.27853,Walden Media,United States of America,7,989,Josh Hutcherson,2,AnnaSophia Robb,1,Robert Patrick,2,Zooey Deschanel,1,Bailee Madison,1,19,GÃ¡bor CsupÃ³,2,1,Lauren Levine,3,Jeff Stockwell,John Gilbert
Ghost Rider,0,0,2007,120000000,140497059,115802596,136299655,150981001,113742993,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,110,3.968939,Columbia Pictures Corporation,United States of America,5.2,1556,Nicolas Cage,2,Eva Mendes,1,Wes Bentley,2,Donal Logue,2,Sam Elliott,2,19,Mark Steven Johnson,2,1,Michael De Luca,4,Mark Steven Johnson,Richard Francis-Bruce
Ocean's Thirteen,0,0,2007,85000000,105734570,117144465,137879035,152730502,194600000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Adventure,1,122,4.329217,Village Roadshow Pictures,United States of America,6.5,1879,George Clooney,2,Brad Pitt,2,Matt Damon,2,Al Pacino,2,Bernie Mac,2,25,Steven Soderbergh,2,1,Jerry Weintraub,1,Brian Koppelman,Stephen Mirrione
Live Free or Die Hard,0,0,2007,110000000,133811704,134529403,158341107,175396620,247758744,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,129,4.512662,Ingenious Film Partners,United Kingdom,6.4,1964,Bruce Willis,2,Justin Long,2,Timothy Olyphant,2,Cliff Curtis,2,Maggie Q,1,23,Len Wiseman,2,1,Michael Fottrell,1,Mark Bomback,Nicolas De Toth
Ratatouille,0,0,2007,150000000,186540881,206445654,242986535,269159523,420104041,G,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,110,7.249655,Walt Disney Pictures,United States of America,7.4,3889,Patton Oswalt,2,Ian Holm,2,Lou Romano,2,Brian Dennehy,2,Peter Sohn,2,23,Brad Bird,2,2,Brad Lewis,1,Brad Bird,Darren T. Holmes
300,1,1,2007,60000000,97278844,210614939,247893783,274595349,243546996,R,Historical Fiction,Based on Comic/Graphic Novel,Animation/Live Action,Action,0,115,4.555546,Virtual Studios,United States of America,7,4676,Gerard Butler,2,Lena Headey,1,Dominic West,2,David Wenham,2,Vincent Regan,2,87,Zack Snyder,2,1,Gianni Nunnari,3,Zack Snyder,William Hoy
Harry Potter and the Order of the Phoenix,0,0,2007,150000000,201684839,292004738,343689577,380709666,650939197,PG-13,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,1,138,6.74761,Warner Bros.,United Kingdom,7.4,4982,Daniel Radcliffe,2,Rupert Grint,2,Emma Watson,1,Michael Gambon,2,Ralph Fiennes,2,80,David Yates,2,1,David Heyman,1,Michael Goldenberg,Mark Day
Transformers,0,1,2007,151000000,207506576,319246193,375752769,416226505,389026399,PG-13,Science Fiction,Based on TV,Animation/Live Action,Action,0,142,1.848734,Paramount Pictures,United States of America,6.6,3770,Shia LaBeouf,2,Josh Duhamel,2,Megan Fox,1,Rachael Taylor,1,Tyrese Gibson,2,38,Michael Bay,2,1,Don Murphy,4,Alex Kurtzman,Paul Rubell
Shrek the Third,0,0,2007,160000000,217121430,322719944,379841374,420755508,484610992,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,1,92,3.998179,DreamWorks SKG,United States of America,5.9,2026,Mike Myers,2,Eddie Murphy,2,Cameron Diaz,1,Julie Andrews,1,Antonio Banderas,2,41,Chris Miller,2,2,Aron Warner,2,Jeffrey Price,Joyce Arrastia
Spider-Man 3,0,0,2007,258000000,317565864,336530303,396096167,438761165,558329927,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,1,139,7.884836,Columbia Pictures,United States of America,5.9,3210,Tobey Maguire,2,Kirsten Dunst,1,James Franco,2,Thomas Haden Church,2,Topher Grace,2,143,Sam Raimi,2,1,Avi Arad,3,Alvin Sargent,Bob Murawski
Notorious,0,0,2009,19000000,23052805,36843682,40896487,44065044,8161469,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,122,3.061216,RKO Radio Pictures,United States of America,7.7,307,Cary Grant,2,Ingrid Bergman,1,Claude Rains,2,Louis Calhern,2,Leopoldine Konstantin,1,58,Alfred Hitchcock,2,1,Alfred Hitchcock,2,Ben Hecht,Theron Warth
Street Kings,0,0,2008,20000000,23909516,26415649,30325165,36175324,39039144,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,107,2.680043,Fox Searchlight Pictures,United States of America,6.3,341,Keanu Reeves,2,Forest Whitaker,2,Chris Evans,2,Hugh Laurie,2,Martha Higareda,1,48,David Ayer,0,1,Erwin Stoff,3,Kurt Wimmer,Jeffrey Ford
A Nightmare on Elm Street,0,0,2010,35000000,42190551,63075011,70265562,71708853,54654610,R,Fantasy,Remake,Live Action,Horror,0,94,3.267874,New Line Cinema,United States of America,7.2,1077,John Saxon,2,Ronee Blakley,1,Heather Langenkamp,1,Amanda Wyss,1,Jsu Garcia,2,29,Wes Craven,2,1,Robert Shaye,3,Wes Craven,Patrick McMahon
The Forbidden Kingdom,0,0,2008,55000000,62707140,52075270,59782410,71315293,77000000,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Action,0,105,2.254361,Casey Silver Productions,China,6.3,418,Jackie Chan,2,Jet Li,2,Michael Angarano,2,Liu Yifei,1,Li Bingbing,1,15,Rob Minkoff,2,1,Casey Silver,3,none,Eric Strand
The Day the Earth Stood Still,0,0,2008,80000000,91746313,79366978,91113291,108690350,153700000,PG-13,Science Fiction,Remake,Live Action,Adventure,0,103,4.121111,Twentieth Century Fox Film Corporation,United States of America,7.3,298,Michael Rennie,0,Patricia Neal,1,Billy Gray,2,Hugh Marlowe,2,Sam Jaffe,2,14,Robert Wise,2,1,Julian Blaustein,1,Edmund H. North,William Reynolds
Valkyrie,0,0,2008,90000000,102295509,83077762,95373271,113772141,120824345,PG-13,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0,120,3.119675,United Artists,Germany,6.7,1100,Tom Cruise,2,Carice van Houten,1,Kenneth Branagh,2,Bill Nighy,2,Terence Stamp,2,34,Bryan Singer,2,1,Gilbert Adler,3,Christopher McQuarrie,John Ottman
